,train,val,test
C1026435___7316-7102___H_and_E_B1,True,False,False
C1026435___7316-7102___FS_H_and_E,True,False,False
C1026435___7316-6775___H_and_E_A1,True,False,False
C1026558___7316-3927___HandE_C2,True,False,False
C1039104___7316-4219___HandE_A1,True,False,False
C1039104___7316-4219___HandE_B1,True,False,False
C1039104___7316-4219___HandE_C1,True,False,False
C1046730___7316-4225___HandE_A1,True,False,False
C1100727___7316-7511___H_and_E_B2,True,False,False
C1100727___7316-7511___H_and_E_B1,True,False,False
C111684___7316-491___HandE_(B),True,False,False
C111684___7316-491___HandE_(A),True,False,False
C111930___7316-476___HandE_(A),True,False,False
C111930___7316-476___HandE_(B),True,False,False
C112176___7316-488___HandE,True,False,False
C112422___7316-449___HandE_(1),True,False,False
C112422___7316-449___HandE_(3),True,False,False
C112422___7316-449___HandE_(2),True,False,False
C121524___7316-495___HandE,True,False,False
C127182___7316-869___HandE,True,False,False
C127182___7316-869___HandE_2,True,False,False
C1277724___7316-8131___H_and_E_A1,True,False,False
C1277724___7316-8131___H_and_E_B1,True,False,False
C136284___7316-470___HandE,True,False,False
C136530___7316-7103___H_and_E_A1,True,False,False
C136530___7316-7103___FS_H_and_E,True,False,False
C140097___7316-880___HandE_2,True,False,False
C140097___7316-880___HandE_1,True,False,False
C140097___7316-880___HandE_2,True,False,False
C140097___7316-880___HandE_1,True,False,False
C154980___7316-960___HandE,True,False,False
C155103___7316-875___HandE_A,True,False,False
C16851___7316-48___HandE,True,False,False
C17097___7316-33___HandE,True,False,False
C177366___7316-154___HandE,True,False,False
C18327___7316-36___HandE,True,False,False
C18327___7316-1845___HandE_BLOCK_2,True,False,False
C18327___7316-1845___HandE_BLOCK_1,True,False,False
C18327___7316-1845___HandE_BLOCK_2,True,False,False
C18327___7316-1845___HandE_BLOCK_1,True,False,False
C187083___7316-957___HandE,True,False,False
C19557___7316-35___HandE,True,False,False
C216234___7316-916___HandE_C,True,False,False
C216234___7316-916___HandE_B,True,False,False
C231240___7316-902___HandE_C,True,False,False
C23493___7316-50___HandE,True,False,False
C2354097___7316-5307___HandE_D1,True,False,False
C23616___7316-43___HandE,True,False,False
C2402313___7316-5330___HandE,True,False,False
C2403543___7316-4538___H_and_E,True,False,False
C2409078___7316-5334___HandE,True,False,False
C2421747___7316-5336___HandE_B1,True,False,False
C2439951___7316-5261___HandE,True,False,False
C245631___7316-924___HandE_B,True,False,False
C245631___7316-924___HandE_C,True,False,False
C2501082___7316-6358___HandE,True,False,False
C2544993___7316-5461___HandE,True,False,False
C2581647___7316-4544___H_and_E,True,False,False
C25953___7316-97___HandE_A2,True,False,False
C25953___7316-97___HandE_A1,True,False,False
C2617194___7316-6295___HandE_C2,True,False,False
C262605___7316-925___HandE_,True,False,False
C2647698___7316-8723___H_and_E_B1,True,False,False
C2647698___7316-6651___HandE_A1,True,False,False
C2647698___7316-6651___HandE_FS_(DGD),True,False,False
C2653971___7316-6652___HandE_C1,True,False,False
C2653971___7316-6652___HandE_FS_(DGD),True,False,False
C2653971___7316-6652___HandE_B1,True,False,False
C2654217___7316-6655___HandE_B1,True,False,False
C2678694___7316-7524___H_and_E_,True,False,False
C2688165___7316-6663___HandE_A4,True,False,False
C2697882___7316-8747___H_and_E_D1,True,False,False
C2697882___7316-6670___HandE_FS_(DGD),True,False,False
C2697882___7316-6670___HandE_C1,True,False,False
C2734290___7316-6764___HandE_,True,False,False
C2734290___7316-6764___HandE_FS_DGD,True,False,False
C2735028___7316-6769___HandE_A1,True,False,False
C2760612___7316-6776___H_and_E_A1,True,False,False
C2760612___7316-6776___H_and_E_B1,True,False,False
C27675___7316-247___HandE_B1,True,False,False
C27675___7316-247___HandE_B2,True,False,False
C27798___7316-77___HandE,True,False,False
C2795544___7316-7063___H_and_E_frozen,True,False,False
C2795544___7316-7063___H_and_E,True,False,False
C2836872___7316-7077___H_and_E_A1,True,False,False
C2837733___7316-7079___H_and_E_B1,True,False,False
C2837733___7316-7079___H_and_E_A1,True,False,False
C2839701___7316-7083___H_and_E_A1,True,False,False
C28413___7316-82___HandE,True,False,False
C2855076___7316-7090___H_and_E_A1,True,False,False
C2855076___7316-7090___H_and_E_A,True,False,False
