,train,val,test
C1026435,True,False,False
C1026558,True,False,False
C1031970,True,False,False
C1032462,True,False,False
C1100727,True,False,False
C114759,True,False,False
C127182,True,False,False
C136161,True,False,False
C136530,True,False,False
C154980,True,False,False
C19557,True,False,False
C216234,True,False,False
C231240,True,False,False
C2321994,True,False,False
C2334663,True,False,False
C23493,True,False,False
C2354097,True,False,False
C23616,True,False,False
C2402313,True,False,False
C2403543,True,False,False
C2439951,True,False,False
C2479803,True,False,False
C2501082,True,False,False
C2544993,True,False,False
C25953,True,False,False
C262605,True,False,False
C2647698,True,False,False
C2654217,True,False,False
C2688165,True,False,False
C2697882,True,False,False
C270969,True,False,False
C2836872,True,False,False
C2837733,True,False,False
C28413,True,False,False
C2855076,True,False,False
C28659,True,False,False
C29151,True,False,False
C29397,True,False,False
C324597,True,False,False
C3365895,True,False,False
C3396522,True,False,False
C3396645,True,False,False
C3401442,True,False,False
C3406485,True,False,False
C3408945,True,False,False
C3409191,True,False,False
C3418293,True,False,False
C3420507,True,False,False
C34317,True,False,False
C3512388,True,False,False
C3543507,True,False,False
C35670,True,False,False
C3579915,True,False,False
C3616446,True,False,False
C3622227,True,False,False
C36654,True,False,False
C3684711,True,False,False
C3686925,True,False,False
C36900,True,False,False
C372321,True,False,False
C37638,True,False,False
C3775731,True,False,False
C3775977,True,False,False
C3777453,True,False,False
C3790614,True,False,False
C3860109,True,False,False
C387327,True,False,False
C38991,True,False,False
C393477,True,False,False
C40344,True,False,False
C409959,True,False,False
C410697,True,False,False
C41574,True,False,False
C4158261,True,False,False
C440832,True,False,False
C44526,True,False,False
C457929,True,False,False
C46371,True,False,False
C475887,True,False,False
C50061,True,False,False
C51045,True,False,False
C51291,True,False,False
C52029,True,False,False
C53874,True,False,False
C58056,True,False,False
C58179,True,False,False
C584865,True,False,False
C59532,True,False,False
C60270,True,False,False
C624471,True,False,False
C62730,True,False,False
C642060,True,False,False
C654483,True,False,False
C663093,True,False,False
C705651,True,False,False
C71217,True,False,False
C713892,True,False,False
C719919,True,False,False
C720165,True,False,False
C72324,True,False,False
C72693,True,False,False
C72939,True,False,False
C734679,True,False,False
C735540,True,False,False
C743289,True,False,False
C744888,True,False,False
C75522,True,False,False
C75768,True,False,False
C787938,True,False,False
C808233,True,False,False
C809340,True,False,False
C829266,True,False,False
C831849,True,False,False
C83271,True,False,False
C83640,True,False,False
C84378,True,False,False
C883263,True,False,False
C883632,True,False,False
C88683,True,False,False
C90159,True,False,False
C949683,True,False,False
C953250,True,False,False
C979080,True,False,False
C98031,True,False,False
C1002204,True,False,False
C1004049,True,False,False
C1032339,True,False,False
C1046853,True,False,False
C1095069,True,False,False
C182409,True,False,False
C18450,True,False,False
C216603,True,False,False
C2358771,True,False,False
C2579556,True,False,False
C2580540,True,False,False
C2653725,True,False,False
C2653848,True,False,False
C271092,True,False,False
C2751264,True,False,False
C2857659,True,False,False
C337143,True,False,False
C3407346,True,False,False
C3418539,True,False,False
C34563,True,False,False
C3543384,True,False,False
C3615708,True,False,False
C3684096,True,False,False
C377610,True,False,False
C3790491,True,False,False
C3904758,True,False,False
C42066,True,False,False
C466170,True,False,False
C54981,True,False,False
C55104,True,False,False
C56826,True,False,False
C57441,True,False,False
C68019,True,False,False
C71709,True,False,False
C74661,True,False,False
C806142,True,False,False
C89052,True,False,False
C952635,True,False,False
C952758,True,False,False
C96432,True,False,False
C973299,True,False,False
C99753,True,False,False
C1026804,True,False,False
C146247,True,False,False
C17466,True,False,False
C217095,True,False,False
C230994,True,False,False
C2479926,True,False,False
C2536506,True,False,False
C27552,True,False,False
C2774019,True,False,False
C2786688,True,False,False
C2896773,True,False,False
C3418416,True,False,False
C3651501,True,False,False
C3651747,True,False,False
C3767367,True,False,False
C3775608,True,False,False
C3777699,True,False,False
C3904635,True,False,False
C396552,True,False,False
C39729,True,False,False
C41328,True,False,False
C44403,True,False,False
C48216,True,False,False
C49077,True,False,False
C49323,True,False,False
C50184,True,False,False
C50799,True,False,False
C52890,True,False,False
C55350,True,False,False
C68265,True,False,False
C698517,True,False,False
C701838,True,False,False
C72570,True,False,False
C76875,True,False,False
C83517,True,False,False
C84747,True,False,False
