,train,val,test
0,C1026558___7316-3927___HandE_C2,C1032585___7316-3945___HandE_A2,C3790614___7316-9023___H_and_E_
1,C1031970___7316-4208___HandE,C155103___7316-875___HandE_A,C2795544___7316-7063___H_and_E_frozen
2,C1032462___7316-3962___HandE_,C37638___7316-168___HandE,C2795544___7316-7063___H_and_E
3,C1100727___7316-7511___H_and_E_B2,C3156795___7316-7494___H_and_E_DGD,C58794___7316-136___HandE
4,C1100727___7316-7511___H_and_E_B1,C3156795___7316-7494___H_and_E_B1,C35670___7316-162___HandE
5,C111684___7316-491___HandE_(B),C3156795___7316-8831___H_and_E_B2,C2654217___7316-6655___HandE_B1
6,C111684___7316-491___HandE_(A),C3156795___7316-8831___H_and_E_A1,C83271___7316-396___HandE_C
7,C111930___7316-476___HandE_(A),C72939___7316-337___HandE_A,C83271___7316-396___HandE_(B)
8,C111930___7316-476___HandE_(B),C72939___7316-337___HandE_B,C37269___7316-152___HandE
9,C112176___7316-488___HandE,C692736___7316-2584___HandE_C2,C3301689___7316-7529___H_and_E_A1
10,C114759___7316-487___HandE_(S14-765),C3418785___7316-7932___H_and_E_C1,C3301689___7316-7529___H_and_E_B1
11,C114759___7316-5302___HandE,C3418785___7316-7932___H_and_E_B1,C27675___7316-247___HandE_B1
12,C114759___7316-487___HandE_(S14-904),C520905___7316-2143___HandE,C27675___7316-247___HandE_B2
13,C1206138___7316-1917___HandE_B1,C3686925___7316-8865___H_and_E_B2,C19680___7316-397___HandE
14,C121524___7316-495___HandE,C85977___7316-385___HandE,C19680___7316-106___HandE
15,C123861___7316-953___HandE_A,C393477___7316-1767___HandE_A2,C2479803___7316-5451___HandE
16,C123861___7316-953___HandE_B,C393477___7316-1767___HandE_A3,C2479803___7316-6667___HandE_B1
17,C136161___7316-2193___HandE_C,C393477___7316-1767___HandE_A1,C2479803___7316-5453___HandE
18,C136161___7316-485___HandE,C3579915___7316-8743___H_and_E_B1,C2837733___7316-7079___H_and_E_B1
19,C136161___7316-2147___HandE_B1,C3579915___7316-8743___H_and_E_A1,C2837733___7316-7079___H_and_E_A1
20,C136161___7316-2193___HandE_B,C53505___7316-2753___HandE_A2,C242679___7316-886___HandE_A
21,C136161___7316-2147___HandE_B2,C53505___7316-2988___HandE_C,C242679___7316-886___HandE_B1
22,C136161___7316-2193___HandE_A,C53505___7316-2753___HandE_A3,C4158261___7316-9554___1_B_HE
23,C136284___7316-470___HandE,C387327___7316-1756___HandE_A,C4158261___7316-9554___1_A_HE
24,C140097___7316-880___HandE_2,C387327___7316-1756___HandE_B,C1039104___7316-4219___HandE_A1
25,C140097___7316-880___HandE_1,C72324___7316-345___HandE_(1),C1039104___7316-4219___HandE_B1
26,C146124___7316-884___HandE_(B),C3860109___7316-9252___H_and_E_B1,C1039104___7316-4219___HandE_C1
27,C154980___7316-960___HandE,C77367___7316-370___HandE,C60270___7316-199___HandE
28,C16851___7316-48___HandE,C98031___7316-459___HandE,C90528___7316-441___HandE_(2)
29,C17097___7316-33___HandE,C216234___7316-916___HandE_C,C90528___7316-441___HandE_(B1)
30,C18327___7316-1845___HandE_BLOCK_2,C216234___7316-916___HandE_B,C136530___7316-7103___H_and_E_A1
31,C18327___7316-36___HandE,C475887___7316-2145___HandE,C136530___7316-7103___FS_H_and_E
32,C18327___7316-1845___HandE_BLOCK_1,C127182___7316-869___HandE,C136530___7316-874___HandE_B
33,C187083___7316-957___HandE,C127182___7316-869___HandE_2,C136530___7316-874___HandE_A
34,C19188___7316-9___HandE_BLOCK_C2,C52029___7316-303___HandE_A5,C1046730___7316-4225___HandE_A1
35,C19188___7316-9___HandE_BLOCK_D1,C52029___7316-303___HandE_A4,C1046730___7316-7920___H_and_E_A1
36,C19557___7316-35___HandE,C52029___7316-303___HandE_B3,C1046730___7316-6354___HandE
37,C230871___7316-891___HandE,C52029___7316-303___HandE_A3,C1046730___7316-7920___H_and_E_B1
38,C231240___7316-902___HandE_C,C52029___7316-303___HandE_B2,C1277724___7316-5152___HandE
39,C2321994___7316-5273___HandE,C52029___7316-303___HandE_A1,C1277724___7316-8131___H_and_E_A1
40,C2334663___7316-5278___HandE,C52029___7316-303___HandE_A6,C1277724___7316-8131___H_and_E_B1
41,C23493___7316-6297___HandE_,C52029___7316-303___HandE_A2,C3291111___7316-7520___H_and_E_A1
42,C23493___7316-4741___HandE_A2,C112422___7316-449___HandE_(1),C74292___7316-442___HandE_(C1)
43,C23493___7316-50___HandE,C112422___7316-449___HandE_(3),C74292___7316-344___HandE
44,C2354097___7316-5307___HandE_D1,C112422___7316-449___HandE_(2),C86100___7316-393___HandE
45,C2402313___7316-5330___HandE,C1026189___7316-3925___HandE_A1,C2439951___7316-5261___HandE
46,C2403543___7316-4538___H_and_E,C1026189___7316-7923___H_and_E_A1,C311313___7316-943___HandE_C
47,C2409078___7316-5334___HandE,C1026189___7316-3925___HandE_B1,C2653971___7316-6652___HandE_C1
48,C2421501___7316-5258___HandE,C409959___7316-1084___HandE_A1,C2653971___7316-6652___HandE_FS_(DGD)
49,C245631___7316-924___HandE_B,C3684096___7316-8856___H_and_E_A2,C2653971___7316-6652___HandE_B1
50,C245631___7316-924___HandE_C,C55104___7316-239___HandE_(B4),C324351___7316-1745___HandE_A1
51,C2501082___7316-6358___HandE,C55104___7316-239___HandE(B1),C324351___7316-1745___HandE_B
52,C2544993___7316-5461___HandE,C2451759___7316-5264___HandE_A2,C2760612___7316-6776___H_and_E_A1
53,C2568486___7316-5476___HandE,C2451759___7316-5264___HandE_A1,C2760612___7316-6776___H_and_E_B1
54,C2581647___7316-4544___H_and_E,C2451759___7316-5477___HandE_B1,C654483___7316-1963___HandE
55,C2581647___7316-5877___H_and_E,C524349___7316-2152___HandE,C3702423___7316-8854___H_and_E_A2
56,C2617194___7316-6295___HandE_C2,C2857659___7316-7091___H_and_E_B1,C3702423___7316-8854___H_and_E___C2
57,C262605___7316-925___HandE_,C2857659___7316-7091___H_and_E_B2,C3702423___7316-8854___H_and_E_B1
58,C2647698___7316-8723___H_and_E_B1,C2857659___7316-7091___H_and_E_FSA,C3702423___7316-8854___H_and_E_F3
59,C2647698___7316-6651___HandE_A1,C2857659___7316-7091___H_and_E_A1,C3702423___7316-8854___H_and_E_____C2
60,C2647698___7316-6651___HandE_FS_(DGD),C3904758___7316-6535___1_B_HE,C3409314___7316-8115___H_and_E_B1
61,C2668362___7316-6649___HandE_A1,C2832690___7316-7075___H_and_E_B2,C3409314___7316-8115___H_and_E_A1
62,C2668362___7316-6649___HandE_FS_(DGD),C2832690___7316-7075___H_and_E_FSA,C140466___7316-882___HandE
63,C2678694___7316-7524___H_and_E_,C34809___7316-5335___HandE_B1,C2421747___7316-5336___HandE_B1
64,C2678694___7316-6661___HandE_FS_(DGD),C34809___7316-161___HandE,C720042___7316-2718___HandE_A2
65,C2678694___7316-6661___HandE_A1,,C720042___7316-2718___HandE_B1
66,C2697882___7316-8747___H_and_E_D1,,C25953___7316-97___HandE_A2
67,C2697882___7316-6670___HandE_FS_(DGD),,C25953___7316-97___HandE_A1
68,C2697882___7316-6670___HandE_C1,,C953250___7316-3761___HandE_A1
69,C270477___7316-932___HandE_FSC,,C953250___7316-3761___HandE_A2
70,C270477___7316-932___HandE_C2,,C3775977___7316-6529___2_B_HE
71,C270477___7316-932___HandE_C1,,C3775977___7316-6529___2_A_HE
72,C270969___7316-917___HandE_A,,C2688165___7316-6663___HandE_A4
73,C270969___7316-917___HandE_B1,,C1026435___7316-4067___HandE_B1
74,C2734290___7316-6764___HandE_,,C1026435___7316-6775___H_and_E_A1
75,C2734290___7316-6764___HandE_FS_DGD,,C1026435___7316-7102___H_and_E_B1
76,C2735028___7316-6769___HandE_A1,,C1026435___7316-7102___FS_H_and_E
77,C2760858___7316-6778___H_and_E_A1,,C3503655___7316-7954___H_and_E_B1
78,C27798___7316-77___HandE,,C3503655___7316-7954___H_and_E_A1
79,C2819775___7316-7068___H_and_E_SFA,,C51291___7316-227___HandE_A
80,C2819775___7316-7068___H_and_E_A2,,C51291___7316-227___HandE_D
81,C2819775___7316-7068___H_and_E_A1,,C51291___7316-227___HandE_B
82,C2819898___7316-7071___H_and_E_B1,,C23616___7316-43___HandE
83,C2819898___7316-7071___H_and_E_A1,,C73062___7316-350___HandE_(A5)
84,C2819898___7316-7071___H_and_E_FSA,,C73062___7316-944___HandE
85,C2839701___7316-7083___H_and_E_A1,,C2836872___7316-7077___H_and_E_A1
86,C28413___7316-82___HandE,,C34317___7316-132___HandE
87,C2855076___7316-7090___H_and_E_A1,,C177366___7316-154___HandE
88,C2855076___7316-7090___H_and_E_A,,C663093___7316-2572___HandE
89,C2864670___7316-7097___H_and_E_B1,,C36900___7316-148___HandE
90,C2864670___7316-7097___H_and_E_A1,,C3528132___7316-7967___H_and_E_B3
91,C28659___7316-84___HandE,,C3185577___7316-7528___H_and_E_D
92,C2879184___7316-7098___H_and_E_FSA,,C3185577___7316-9016___H_and_E_B2
93,C2879184___7316-7098___H_and_E_B1,,C3185577___7316-9016___H_and_E_B1
94,C29151___7316-119___HandE_FSA,,C3185577___7316-7528___H_and_E_A1
95,C29397___7316-117___HandE,,C806142___7316-3030___HandE_
96,C311190___7316-1744___HandE_B3,,C216603___7316-913___HandE
97,C311190___7316-1744___HandE_B4,,C952758___7316-3769___HandE_A1
98,C311190___7316-1744___HandE_B1,,C952758___7316-3769___HandE_C3
99,C311190___7316-1744___HandE_A,,C952758___7316-3769___HandE_C1
100,C311559___7316-938___HandE,,C952758___7316-7074___H_and_E_FSA
101,C3153843___7316-7111___H_and_E_DGD,,C952758___7316-7074___H_and_E_A1
102,C3153843___7316-7111___H_and_E_,,C2653725___7316-6645___HandE_FS_(DGD)
